

______________READ THE FOLLOWING DATA______________
328 species:{CY038839,CY035174,CY036991,KC458090,CY030557,KC458093,FJ532091,EU779508,EU779504,CY038847,EU885542,CY044524,CY039431,CY173199,CY173215,JQ655463,JQ655462,EU716492,CY173191,CY030042,CY037543,CY030554,KC458067,KC458066,KC458061,KC458063,CY044676,KC458069,CY030558,CY037703,CY036935,CY037815,CY037607,CY044772,CY173111,EU885505,EU516073,EU516071,EU516070,EU516077,EU516076,CY173119,CY037319,FJ549056,CY036951,KC458088,EU779518,CY030039,EU716435,EU779514,EU716437,EU779516,KC458087,EU779510,EU914859,KC458084,CY032573,EU885499,CY044796,CY037479,FJ009468,CY173207,CY037863,EU885497,CY044748,EU885540,CY037575,CY044644,EU851999,CY037847,FJ975061,CY173127,EU566973,EU516208,EU516209,EU716476,KC458071,CY035182,CY031908,FJ009476,AB453383,EU516202,AB453381,EU516204,EU516205,EU516206,FJ009471,CY044540,CY035150,CY044780,CY044548,CY036983,CY035158,FJ975060,EU716449,CY037879,EU885536,AB453380,CY037871,CY037687,EU716446,EU716505,CY037671,EU779500,EU567008,CY044652,CY173135,CY037503,EU567004,CY044804,CY114413,EU516218,FJ009467,FJ549038,EU516213,EU516212,EU516211,EU516210,EU516217,EU516215,CY039111,EU516048,CY044580,CY044333,CY037807,EU852005,EU516046,EU716459,CY030556,EU885509,CY037519,EU852003,EU851993,EU716453,CY034491,CY030017,EU852009,EU516044,EU779506,EU716469,EU567010,FJ009475,CY030553,EU566995,CY038855,CY044812,CY031849,CY044700,CY044620,AB453374,CY044381,CY044429,CY041458,CY037591,CY044628,AB453369,EU516207,CY037599,EU851995,FJ179350,FJ686925,FJ179356,CY030041,FJ179354,CY030020,CY038495,EU885507,EU852007,CY044445,KC458079,EU716502,CY034489,CY037855,FJ975074,FJ794136,CY173095,EU716465,EU716462,FJ686948,CY044732,CY173255,CY037623,CY035054,EU885501,AB453371,CY044820,CY037511,CY037743,EU516203,CY037583,AB453376,AB453375,CY037527,CY044437,AB453378,CY036975,EU516214,CY044636,CY044692,KC458081,CY035046,EU885518,CY038487,EU885514,EU885512,EU716471,CY037823,CY031964,CY038815,CY037535,FJ686942,CY044788,JQ988027,CY036999,CY038831,FJ686930,FJ686931,CY037639,KC458059,AB453370,CY031906,KC458054,KC458055,CY044708,CY037631,CY038823,KC458053,CY039103,CY037735,EU516075,CY041474,CY030561,FJ794134,CY035038,EU567012,EU885522,EU885520,CY172175,EU885526,EU779522,CY044469,CY173183,CY035190,JX239603,CY044461,EU779524,EU779526,FJ794133,EU779520,FJ794135,CY037831,FJ794137,CY044852,CY039415,CY036927,EU779528,CY037839,CY035166,CY044844,CY173239,CY044596,CY038783,CY039095,CY173271,KC458046,CY044612,CY037615,CY173279,CY037727,CY041466,CY173175,CY037567,CY044756,KC458082,CY036967,CY037487,CY044588,FJ975058,CY036959,CY037647,EU779534,CY039423,CY038871,CY035062,EU885530,EU885532,FJ532082,CY032174,CY044572,CY173103,FJ532086,EU885538,CY032173,KC458086,AB453368,CY037791,EU779532,EU779530,CY031889,CY173263,CY037799,EU516062,EU779498,CY044764,KC458072,CY037551,KC458070,CY037719,CY044668,KC458049,KC458074,KC458075,CY037559,CY037711,CY173087,CY044500,CY044740,CY037495,CY044508,CY038791,CY173143,KC458089,EU716486,EU516063,EU516064,EU516065,EU716482,EU516067};
Total Sites:1698;
Distinct Sites:429

Phase 1:Nucleotide Model (010010) Model Fit


-6847.31616079914

Phase 2:MG94x(010010) Model Fit



Phase 3:Estimating dN/dS


Nuc->codon scaling factor:2.021193043985971
Raw scaling factor:2.021193043985971
Tree scaling factor(S): 1

Using dN/dS=0.3027995225170851
Codon model:-6676.75200420459

Phase 4: Ancestral State Reconstruction and Counting

<<Significance level for Likelihood Ratio Tests (permissible range = [0,1], default value = 0.1)>>Site     1 dN/dS =      0.00000 Full Log(L) =     -4.07290 LRT =      3.34828 p-value =      0.03364 *N
Site     2 dN/dS =      2.83133 Full Log(L) =    -26.93131 LRT =      2.34798 p-value =      0.06272 *P
Site     3 dN/dS =      0.00000 Full Log(L) =    -11.59186 LRT =      2.19804 p-value =      0.06909 *N
Site     4 dN/dS =      0.00000 Full Log(L) =     -4.35561 LRT =      2.08859 p-value =      0.07420 *N
Site     5 dN/dS =      0.00000 Full Log(L) =     -4.27368 LRT =      2.08859 p-value =      0.07420 *N
Site     6 dN/dS =      0.00000 Full Log(L) =    -11.20610 LRT =      2.52153 p-value =      0.05615 *N
Site     7 dN/dS =      0.00000 Full Log(L) =    -11.99338 LRT =      1.27461 p-value =      0.12945
Site     8 dN/dS =      0.72555 Full Log(L) =    -11.57875 LRT =      0.11452 p-value =      0.36753
Site     9 dN/dS =      2.27490 Full Log(L) =    -19.30818 LRT =      1.04071 p-value =      0.15383
Site    10 dN/dS =      0.00000 Full Log(L) =     -4.27368 LRT =      2.08859 p-value =      0.07420 *N
Site    11 dN/dS =      1.65045 Full Log(L) =    -14.28916 LRT =      0.21328 p-value =      0.32210
Site    12 dN/dS =      0.00000 Full Log(L) =     -9.39308 LRT =      2.36748 p-value =      0.06194 *N
Site    13 dN/dS =      0.00000 Full Log(L) =    -13.50527 LRT =      1.21369 p-value =      0.13530
Site    14 dN/dS =      0.86231 Full Log(L) =    -13.02843 LRT =      0.02300 p-value =      0.43973
Site    15 dN/dS =      1.00314 Full Log(L) =    -11.50889 LRT =      0.00001 p-value =      0.49876
Site    16 dN/dS =      0.80547 Full Log(L) =    -12.42510 LRT =      0.05023 p-value =      0.41133
Site    17 dN/dS =      0.96525 Full Log(L) =    -13.39015 LRT =      0.00126 p-value =      0.48583
Site    18 dN/dS =      1.00000 Full Log(L) =      0.00000 LRT =      0.00000 p-value =      1.00000
Site    19 dN/dS =      3.52606 Full Log(L) =    -34.77817 LRT =      5.41734 p-value =      0.00997 *P
Site    20 dN/dS =      0.00000 Full Log(L) =    -20.80309 LRT =      3.17847 p-value =      0.03731 *N
Site    21 dN/dS =      0.51961 Full Log(L) =    -12.38924 LRT =      0.53825 p-value =      0.23158
Site    22 dN/dS =      0.62904 Full Log(L) =    -12.53374 LRT =      0.25144 p-value =      0.30803
Site    23 dN/dS =      1.00000 Full Log(L) =      0.00000 LRT =      0.00000 p-value =      1.00000
Site    24 dN/dS =      0.00000 Full Log(L) =     -9.83509 LRT =      3.20027 p-value =      0.03681 *N
Site    25 dN/dS =      1.02814 Full Log(L) =    -20.46126 LRT =      0.00152 p-value =      0.48444
Site    26 dN/dS =      0.00000 Full Log(L) =    -19.45634 LRT =      3.10271 p-value =      0.03908 *N
Site    27 dN/dS =      0.00000 Full Log(L) =    -11.99351 LRT =      3.55930 p-value =      0.02961 *N
Site    28 dN/dS =      0.00000 Full Log(L) =    -11.98824 LRT =      3.10271 p-value =      0.03908 *N
Site    29 dN/dS =      0.00000 Full Log(L) =    -12.71159 LRT =      1.70803 p-value =      0.09562 *N
Site    30 dN/dS =      1.00000 Full Log(L) =      0.00000 LRT =      0.00000 p-value =      1.00000
Site    31 dN/dS =      0.69164 Full Log(L) =    -14.62747 LRT =      0.15399 p-value =      0.34738
Site    32 dN/dS =      0.00000 Full Log(L) =    -11.67881 LRT =      4.01232 p-value =      0.02258 *N
Site    33 dN/dS =      1.00000 Full Log(L) =      0.00000 LRT =      0.00000 p-value =      1.00000
Site    34 dN/dS =      1.00000 Full Log(L) =      0.00000 LRT =      0.00000 p-value =      1.00000
Site    35 dN/dS =      0.00000 Full Log(L) =    -10.60408 LRT =      3.55930 p-value =      0.02961 *N
Site    36 dN/dS =      0.00000 Full Log(L) =    -10.62554 LRT =      3.27761 p-value =      0.03512 *N
Site    37 dN/dS =      0.63119 Full Log(L) =    -14.08913 LRT =      0.24788 p-value =      0.30928
Site    38 dN/dS =      1.00000 Full Log(L) =      0.00000 LRT =      0.00000 p-value =      1.00000
